"siteID"	"xcoord"	"ycoord"	"wgt"	"Lake_Origin"	"Chla"	"OE5"	"PTL"	"NTL"	"Turbidity"	"Chla_cond"	"OE5_cond"	"PTL_cond"	"NTL_cond"	"Turbidity_cond"
"NLA06608-0001"	-1327628.08862154	3012181.09655999	7.59453197	"Natural"	0.24	0.504031	6	151	0.474	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0004"	-1084415.76362116	1668316.47999323	9.171940265	"Man-Made"	4.6	1.032252	18	344	3.81	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0005"	-1497348.78028501	2475337.9164312	15.02738514	"Natural"	1.205	0.98863	4	85	0.475	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0015"	-1044530.85345355	1166121.86548697	6.92095662	"Man-Made"	20	0.918628	109	470	32.7	"Good"	"Good"	"Good"	"Good"	"Poor"
"NLA06608-0033"	-1901234.02483657	2956669.14370755	32.54937288	"Natural"	8.92	0.673385	67	835	12.2	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-0042"	-874392.330112104	2436245.00226765	9.832508096	"Man-Made"	2.208	0.860663	15	213	0.791	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0049"	-1650430.89640938	2637101.92869338	16.39814678	"Man-Made"	1.136	1.150604	15	256	1.55	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0061"	-1597693.79599116	1390620.98845191	1.201463105	"Man-Made"	3.5	0.813101	19	481	3.49	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0065"	-1407582.44396854	3026147.60861874	7.59453197	"Natural"	0.568	0.818536	1	71	0.257	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0068"	-1033567.95343041	1707868.18859506	9.171940265	"Man-Made"	0.953	0.915964	1	168	0.887	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0073"	-1930079.69976256	2067177.56106898	1.036696107	"Man-Made"	0.494	0.119707	4679	1055	0.519	"Good"	"Poor"	"Good"	"Poor"	"Good"
"NLA06608-0079"	-948438.536649883	1941505.01147282	10.0994059	"Natural"	2.352	0.881258	4	97	0.278	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0081"	-1934283.82128358	3070636.45346485	32.54937288	"Natural"	6.664	0.449089	22	741	0.73	"Poor"	"Poor"	"Poor"	"Poor"	"Good"
"NLA06608-0085"	-1610250.74324786	2445401.79407197	9.206236461	"Man-Made"	4.04	0.489171	417	1581	137	"Good"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-0086"	-2035337.01659315	2799102.38349945	8.741017273	"Natural"	18.24	0.71058	20	288	4.01	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0090"	-1104460.73066907	2294442.48672618	299.2804077	"Natural"	4.357	0.737831	11	253	1.45	"Poor"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0105"	-1397942.29956848	1808618.75461591	2.500256737	"Man-Made"	5.976	0.724907	45	339	5.4	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0116"	-922557.046827047	1451451.00255106	7.461529622	"Man-Made"	2.816	0.615041	26	271	5.55	"Poor"	"Good"	"Good"	"Poor"	"Poor"
"NLA06608-0127"	-1213732.36149131	1317260.6760457	3.185761615	"Man-Made"	5.92	0.944693	19	641	1.98	"Poor"	"Good"	"Poor"	"Good"	"Good"
"NLA06608-0129"	-1386045.58747096	2937646.01049577	8.362490243	"Natural"	0.428	1.031707	5	108	0.264	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0130"	-1423405.48343146	1038345.57419699	2.954959513	"Man-Made"	12.912	1.032685	36	2234	1.97	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0132"	-1162868.0784251	1542348.96845803	1.176352744	"Man-Made"	8.107	0.960908	56	466	6.4	"Poor"	"Good"	"Poor"	"Poor"	"Poor"
"NLA06608-0137"	-2007737.69745715	1927524.5741357	4.682523949	"Natural"	1.326	1.270762	3	82	0.43	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0169"	-1335538.29194781	1830182.36678037	4.518520298	"Man-Made"	2.592	0.987095	33	353	1.39	"Good"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0173"	-1797435.96399457	1296625.55899954	56.58094452	"Man-Made"	70.4	0.507627	57	2218	26.8	"Poor"	"Poor"	"Good"	"Good"	"Poor"
"NLA06608-0181"	-1993046.23874869	1882283.59582631	23.00536336	"Natural"	1.381	1.078791	6	514	0.58	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0193"	-1851966.1149975	3102485.61865025	7.93829747	"Man-Made"	0.302	0.220419	3	71	2.18	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0201"	-2070895.52691448	2055276.4347961	24.80223611	"Man-Made"	0.797	1.085082	3	40	1.03	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0209"	-1950799.38857258	3000781.03632617	2.337088279	"Natural"	2.408	0.620038	4	205	0.597	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0237"	-1642996.80902903	1872188.86116929	0.941492486	"Man-Made"	1.858	0.633021	23	678	1.52	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0241"	-1282715.09440663	2249915.57565438	3.74318274	"Man-Made"	9.744	0.641064	80	774	14.9	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0245"	-2233219.88274172	2012588.88385317	23.00536336	"Man-Made"	2.656	0.413912	11	329	0.65	"Good"	"Poor"	"Good"	"Good"	"Good"
"NLA06608-0257"	-1424780.84472101	2982413.63655867	1.69454268	"Man-Made"	1.147	1.435203	1	79	0.784	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0260"	-944620.577428524	1567356.31994855	7.461529622	"Man-Made"	1.273	0.609649	8	136	3.72	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0276"	-773809.617252079	1786531.54392203	24.83916102	"Man-Made"	1.978	0.810345	7	254	0.354	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0277"	-1409690.82244356	2316161.50625167	3.74318274	"Man-Made"	12.928	0.893205	117	451	11.7	"Good"	"Good"	"Good"	"Good"	"Good"
"NLA06608-0290"	-1989728.80854673	2390980.01470013	3.999258837	"Man-Made"	4.304	0.521221	178	273	46.7	"Poor"	"Poor"	"Good"	"Poor"	"Poor"
"NLA06608-0306"	-1868056.63574433	2500656.59013334	4.084626797	"Man-Made"	38.733	0.380643	271	1525	96.3	"Poor"	NA	"Good"	"Poor"	"Poor"
"NLA06608-0337"	-1967538.31579232	3099323.37439171	7.93829747	"Natural"	7.84	0.9505	23	586	2.17	"Poor"	"Good"	"Poor"	"Poor"	"Good"
"NLA06608-0340"	-884320.218236721	1450107.69243697	27.7848793	"Man-Made"	9.904	0.933972	23	333	4.97	"Poor"	"Good"	"Good"	"Poor"	"Good"
"NLA06608-0373"	-1920181.17126097	1458564.99411215	24.80223611	"Man-Made"	0.68	0.61433	1	104	0.36	"Good"	"Good"	"Good"	"Good"	"Good"
